Node ID, Distance (m), Lat, Lon
576589503, 18959.93, 41.50664, 2.10903 
576589504, 18994.94, 41.50684, 2.10871 
576589505, 19014.18, 41.50691, 2.10850 
576589506, 19172.81, 41.50771, 2.10693 
576792790, 19191.97, 41.50758, 2.10677 
576792789, 19211.62, 41.50746, 2.10660 
1444703971, 19306.18, 41.50706, 2.10560 
1444703299, 19321.66, 41.50692, 2.10562 
1444703954, 19334.63, 41.50680, 2.10563 
1444703973, 19349.38, 41.50667, 2.10562 
1444703967, 19363.90, 41.50654, 2.10560 
1444703776, 19382.73, 41.50637, 2.10558 
1444704269, 19403.21, 41.50619, 2.10553 
1444703358, 19429.97, 41.50595, 2.10548 
1444704224, 19444.44, 41.50583, 2.10544 
1444704403, 19456.63, 41.50572, 2.10539 
1444703332, 19469.53, 41.50562, 2.10534 
1444704088, 19483.32, 41.50550, 2.10527 
1444703326, 19495.21, 41.50540, 2.10521 
1444703331, 19524.30, 41.50518, 2.10503 
1444703375, 19558.00, 41.50491, 2.10484 
1444704398, 19579.78, 41.50474, 2.10473 
1444704015, 19595.19, 41.50462, 2.10462 
1444703510, 19627.99, 41.50439, 2.10438 
1444703996, 19674.94, 41.50408, 2.10400 
1444703367, 19704.96, 41.50388, 2.10375 
1444703887, 19720.12, 41.50378, 2.10363 
1444704007, 19748.06, 41.50358, 2.10343 
1444704363, 19761.47, 41.50348, 2.10333 
255403621, 19839.10, 41.50295, 2.10272 
