Node ID, Distance (m), Lat, Lon
420376551, 39786.93, 41.22968, 1.78383 
420376552, 39962.61, 41.22868, 1.78220 
46920562, 40440.13, 41.22589, 1.77786 
420433401, 40789.42, 41.22392, 1.77461 
46920551, 40997.05, 41.22286, 1.77256 
420433399, 41324.05, 41.22177, 1.76893 
504894368, 41793.76, 41.22043, 1.76360 
504894355, 41984.21, 41.22000, 1.76140 
46920545, 42072.33, 41.21988, 1.76036 
1300507865, 42147.65, 41.21984, 1.75946 
1300507870, 42222.67, 41.21985, 1.75856 
504894339, 42375.07, 41.21995, 1.75674 
504894340, 42507.99, 41.22010, 1.75517 
46920537, 42626.91, 41.22017, 1.75375 
504894329, 42818.19, 41.21996, 1.75148 
336906614, 43345.48, 41.21877, 1.74538 
1134704593, 43488.76, 41.21863, 1.74367 
46920525, 43595.52, 41.21866, 1.74240 
1134704682, 43727.44, 41.21882, 1.74084 
634581243, 43987.50, 41.21936, 1.73781 
46920511, 44320.69, 41.22014, 1.73397 
633689808, 44397.89, 41.22023, 1.73305 
632209935, 44550.29, 41.22008, 1.73124 
939097568, 45246.78, 41.21798, 1.72340 
46920492, 45294.67, 41.21778, 1.72289 
634581141, 45369.11, 41.21742, 1.72214 
634581137, 45545.37, 41.21649, 1.72043 
634581113, 45982.20, 41.21390, 1.71650 
46920484, 46211.59, 41.21256, 1.71442 
634581072, 46618.37, 41.21019, 1.71071 
46920461, 46814.36, 41.20905, 1.70893 
634581068, 46879.63, 41.20878, 1.70823 
1299717969, 46939.16, 41.20856, 1.70759 
634581067, 46999.40, 41.20838, 1.70691 
634581070, 47097.84, 41.20821, 1.70575 
46920444, 47569.62, 41.20825, 1.70011 
46920427, 47760.98, 41.20827, 1.69783 
634581063, 47919.81, 41.20817, 1.69593 
634581064, 48089.73, 41.20793, 1.69393 
634581065, 48241.10, 41.20770, 1.69214 
796751037, 49119.07, 41.20547, 1.68207 
796751049, 49192.11, 41.20529, 1.68123 
46920419, 49672.95, 41.20413, 1.67570 
957147045, 49933.69, 41.20346, 1.67271 
957147044, 50052.61, 41.20316, 1.67135 
46920413, 50912.40, 41.20098, 1.66149 
367656942, 51702.31, 41.19901, 1.65242 
46920404, 52229.59, 41.19769, 1.64636 
1489169407, 52884.78, 41.19599, 1.63887 
1489169400, 53242.02, 41.19518, 1.63473 
46920389, 53468.39, 41.19479, 1.63208 
46920379, 54757.36, 41.19344, 1.61678 
1066621412, 55811.32, 41.19232, 1.60427 
46920376, 56090.69, 41.19193, 1.60097 
46920344, 57295.90, 41.19058, 1.58668 
540031213, 58308.98, 41.18958, 1.57465 
540031211, 58356.65, 41.18953, 1.57408 
46920333, 58697.70, 41.18920, 1.57003 
540031157, 59002.88, 41.18889, 1.56641 
540031155, 59033.02, 41.18886, 1.56605 
46920324, 59334.33, 41.18856, 1.56247 
46920312, 60028.05, 41.18858, 1.55418 
46920307, 60910.16, 41.18856, 1.54364 
46920293, 61914.85, 41.18681, 1.53186 
619499719, 62093.97, 41.18659, 1.52974 
892728793, 62434.21, 41.18602, 1.52574 
46920282, 62743.86, 41.18549, 1.52211 
619499715, 62900.26, 41.18488, 1.52043 
619499713, 63037.08, 41.18403, 1.51925 
619499710, 63371.73, 41.18164, 1.51681 
46920276, 63761.41, 41.17915, 1.51354 
46919904, 64709.69, 41.17612, 1.50295 
46919896, 65783.41, 41.17293, 1.49084 
46919508, 66663.02, 41.17029, 1.48094 
46919499, 67752.72, 41.16689, 1.46873 
795963086, 69073.05, 41.16301, 1.45382 
795962816, 69083.42, 41.16298, 1.45370 
46911473, 69230.37, 41.16255, 1.45204 
1066621668, 69451.83, 41.16170, 1.44965 
1066621666, 69602.13, 41.16109, 1.44805 
46911470, 69785.18, 41.16023, 1.44618 
46911466, 70563.76, 41.15662, 1.43821 
46911457, 71501.93, 41.15225, 1.42863 
46911448, 72645.22, 41.14679, 1.41705 
46911442, 73286.46, 41.14391, 1.41042 
271498120, 73654.30, 41.14285, 1.40626 
46911440, 73963.90, 41.14215, 1.40268 
46911436, 75223.87, 41.13933, 1.38811 
1308922868, 75643.21, 41.13830, 1.38329 
46911433, 75921.81, 41.13773, 1.38005 
1208534753, 76337.96, 41.13679, 1.37524 
1208534775, 76374.42, 41.13673, 1.37481 
46911424, 76501.01, 41.13656, 1.37332 
1208534862, 76603.14, 41.13648, 1.37210 
1208534837, 76659.57, 41.13647, 1.37143 
1208534866, 76764.89, 41.13645, 1.37017 
46911418, 76983.11, 41.13673, 1.36759 
46911408, 77566.63, 41.13758, 1.36072 
46911399, 78243.14, 41.13877, 1.35280 
1088337416, 78298.36, 41.13885, 1.35215 
1088337462, 78343.71, 41.13891, 1.35161 
1088337559, 78439.47, 41.13893, 1.35047 
1088337543, 78518.86, 41.13891, 1.34952 
1088337614, 78599.56, 41.13882, 1.34856 
1088337394, 78681.13, 41.13867, 1.34761 
46911392, 78760.90, 41.13847, 1.34669 
46911385, 78992.67, 41.13773, 1.34411 
46911378, 79687.21, 41.13529, 1.33647 
46911324, 80080.27, 41.13399, 1.33211 
46911319, 80524.88, 41.13238, 1.32725 
1088337795, 80705.13, 41.13187, 1.32521 
1088337670, 80852.45, 41.13154, 1.32350 
46911310, 80970.60, 41.13136, 1.32211 
46911201, 81511.86, 41.13083, 1.31569 
46911193, 82052.31, 41.13060, 1.30924 
46911185, 82385.88, 41.13037, 1.30527 
46911175, 82886.15, 41.12933, 1.29946 
408186712, 83249.38, 41.12770, 1.29570 
46911169, 83613.23, 41.12631, 1.29177 
46911161, 83994.02, 41.12484, 1.28766 
46911154, 84348.52, 41.12324, 1.28400 
46911148, 84648.87, 41.12201, 1.28081 
822145092, 84983.96, 41.12065, 1.27724 
46911143, 84996.07, 41.12060, 1.27711 
46911136, 85369.48, 41.11907, 1.27314 
46911128, 85657.96, 41.11791, 1.27007 
46911123, 85888.30, 41.11694, 1.26764 
46911118, 86157.49, 41.11596, 1.26470 
46911111, 86447.03, 41.11496, 1.26150 
46911105, 86711.67, 41.11396, 1.25864 
1254685684, 86909.35, 41.11306, 1.25661 
46911089, 86984.41, 41.11271, 1.25583 
1030655370, 87043.41, 41.11241, 1.25525 
912172872, 87119.66, 41.11202, 1.25451 
1030655256, 87153.91, 41.11184, 1.25417 
1030655380, 87187.11, 41.11166, 1.25386 
46911086, 87228.94, 41.11142, 1.25347 
46911097, 87254.02, 41.11127, 1.25325 
912172977, 87389.76, 41.11048, 1.25202 
912172948, 87405.77, 41.11039, 1.25187 
1030655350, 87429.88, 41.11025, 1.25165 
1030655266, 87443.07, 41.11017, 1.25153 
954842742, 87453.45, 41.11011, 1.25143 
954843584, 87472.12, 41.11002, 1.25125 
1030655328, 87487.58, 41.10994, 1.25110 
1030655241, 87498.97, 41.10989, 1.25098 
954842869, 87509.88, 41.10985, 1.25086 
1030655276, 87524.61, 41.10980, 1.25069 
262160337, 87538.64, 41.10976, 1.25054 
